household_id,device,power_kw,duration_h,scheduled_start,window_start_slot,optimised_cost_gbp,baseline_cost_gbp,saving_gbp,saving_percent
MAC000006,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000006,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000006,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000006,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000016,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000016,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000016,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000016,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000018,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000018,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000018,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000018,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000019,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000019,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000019,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000019,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000020,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000020,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000020,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000020,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000021,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000021,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000021,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000021,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000022,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000022,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000022,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000022,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000023,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000023,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000023,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000023,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000024,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000024,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000024,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000024,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000025,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000025,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000025,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000025,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000026,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000026,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000026,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000026,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000027,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000027,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000027,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000027,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000028,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000028,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000028,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000028,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000029,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000029,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000029,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000029,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000030,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000030,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000030,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000030,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000032,washing_machine,2.2,2.0,2026-05-27 11:02,21,0.1756,0.5174,0.3419,66.07
MAC000032,dishwasher,1.8,1.5,2026-05-27 11:02,21,0.1077,0.3175,0.2098,66.07
MAC000032,ev_charger,7.0,3.0,2026-05-27 11:02,21,0.8379,2.4696,1.6317,66.07
MAC000032,water_heater,3.0,1.0,2026-05-27 11:02,21,0.1197,0.3528,0.2331,66.07
MAC000033,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000033,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000033,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000033,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000034,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000034,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
MAC000034,ev_charger,7.0,3.0,2026-05-27 00:32,0,2.9988,2.9988,0.0,0.0
MAC000034,water_heater,3.0,1.0,2026-05-27 00:32,0,0.4284,0.4284,0.0,0.0
MAC000035,washing_machine,2.2,2.0,2026-05-27 00:32,0,0.6283,0.6283,0.0,0.0
MAC000035,dishwasher,1.8,1.5,2026-05-27 00:32,0,0.3856,0.3856,0.0,0.0
